Grey,Hits
0,0.00286467285436
1,0.00572934570872
2,0.000572934570872
3,0.002291738283488
4,0.0038959550819296
5,0.0048126503953248
6,0.0055001718803712
7,0
8,0.004583476566976
9,0.014896298842672
10,0.038386616248424
11,0.0053855849661968
12,0.14930674916924
13,0.10289904892861
14,0.0044688896528016
15,0.034490661166494
16,0.076658645582675
17,0.10037813681678
18,0.004010541996104
19,0.024292425804973
20,0.0099690615331728
21,0.021313166036438
22,0.0064168671937664
23,0.000572934570872
24,0.011344104503266
25,0.0030938466827088
26,0.015812994156067
27,0.0059585195370688
28,0.006302280279592
29,0.0072189755929872
30,0.0073335625071616
31,1
