Grey,Hits
0,0.15310427968656
1,0.003616636528029
2,0
3,0.0090415913200725
4,0.016877637130802
5,0.016274864376131
6,0.030741410488247
7,0.036769138034962
8,0.038577456298976
9,0.1163351416516
10,0.2453285111513
11,0.18685955394816
12,0.12718505123569
13,0.33694996986137
14,1
15,0.027124773960218
16,0.14647377938517
17,0.008438818565401
18,0.042796865581677
19,0.025316455696203
20,0.015069318866788
21,0.058468957203136
22,0.12176009644364
23,0.016274864376131
24,0.025316455696203
25,0.023508137432189
26,0.019288728149488
27,0.039180229053648
28,0.045207956600363
29,0.016274864376131
30,0.83484026522001
31,0.4906570223026
