Grey,Hits
0,0.91433644030183
1,0.032401242787395
2,0
3,0.010652463382157
4,0.019529516200622
5,0.0026631158455393
6,0.0097647581003109
7,0.022192632046161
8,0.0075454948956947
9,0.021304926764315
10,0.023968042609854
11,0.0013315579227697
12,0.0071016422547715
13,0.01242787394585
14,0.00088770528184644
15,0.0048823790501554
16,0.0088770528184644
17,0.0035508211273858
18,0.042166000887706
19,0.033732800710165
20,0.0031069684864625
21,0.015978695073236
22,0.013315579227697
23,0.0066577896138483
24,0.020417221482468
25,0.014203284509543
26,0.0031069684864625
27,0.014647137150466
28,0.03728362183755
29,0.019085663559698
30,0.16555703506436
31,1
