Grey,Hits
0,1
1,0.030788177339904
2,0.0059523809523815
3,0.012110016420362
4,0.0092364532019712
5,0.0010262725779968
6,0.011288998357965
7,0.015394088669952
8,0.011288998357965
9,0.023193760262728
10,0.020935960591135
11,0.01272577996716
12,0.014983579638753
13,0.010878489326766
14,0.0041050903119872
15,0.014983579638753
16,0.0092364532019712
17,0
18,0.0088259441707725
19,0.0084154351395738
20,0.0045155993431859
21,0.0067733990147789
22,0.012110016420362
23,0.007389162561577
24,0.012315270935962
25,0.025041050903122
26,0.01600985221675
27,0.044540229885061
28,0.069170771756985
29,0.070402298850581
30,0.31116584564863
31,0.60570607553373
