Grey,Hits
0,1
1,0.00082010234877321
2,0.020174517779821
3,0.10792546909855
4,0.043235795827324
5,0.057899225823391
6,0.0050518304684429
7,0.05507807374361
8,0.022470804356386
9,0.0037724708043567
10,0.0043301404015225
11,0.0084306521453885
12,0.025554389187773
13,0.0028867602676817
14,0.0076105497966153
15,0.007315312951057
16,0.0029523684555835
17,0
18,0.12580370030181
19,0.0067576433538912
20,0.01341687442593
21,0.019649652276606
22,0.0085618685211923
23,0.0056423041595597
24,0.027785067576436
25,0.024865503214804
26,0.084240913265984
27,0.037691903949616
28,0.052978611730749
29,0.004100511743866
30,0.06078598609107
31,0.11415824694923
