Grey,Hits
0,1
1,0.02031523642732
2,0.015761821366024
3,0.018213660245183
4,0.018038528896672
5,0.0049036777583185
6,0.017513134851138
7,0.016812609457092
8,0.0045534150612958
9,0.018739054290717
10,0.023992994746058
11,0.0057793345008754
12,0.0087565674255688
13,0.012434325744308
14,0
15,0.01015761821366
16,0.010683012259194
17,0.002802101576182
18,0.0099824868651484
19,0.011908931698774
20,0.0036777583187389
21,0.016987740805603
22,0.02802101576182
23,0.0094570928196143
24,0.027145359019263
25,0.030647985989491
26,0.032049036777582
27,0.075306479859892
28,0.11366024518388
29,0.1031523642732
30,0.26094570928195
31,0.73485113835374
