Grey,Hits
0,1
1,0.014276609305289
2,0.0068833652007645
3,0.017718291905672
4,0.014021669853409
5,0.0039515615041426
6,0.013511790949649
7,0.013766730401529
8,0.010325047801147
9,0.0068833652007645
10,0.012746972594008
11,0.010962396430847
12,0.011727214786488
13,0.010579987253027
14,0.0084130019120455
15,0.0053537284894835
16,0.0054811982154236
17,0.010452517527087
18,0.0070108349267046
19,0.012619502868068
20,0.046526449968131
21,0.057743785850858
22,0.04576163161249
23,0.047801147227531
24,0.022307202039515
25,0.0031867431485021
26,0.0021669853409814
27,0.0038240917782025
28,0.0042065009560228
29,0
30,0.0044614404079029
31,0.0044614404079029
