Grey,Hits
0,0.8093023255814
1,0
2,0.0023255813953489
3,0.0069767441860466
4,0.0058139534883721
5,0.0034883720930233
6,0
7,0.012790697674419
8,0.073255813953489
9,1
10,0.086046511627908
11,0.017441860465116
12,0.05
13,0.098837209302326
14,0.0046511627906977
15,0.0011627906976744
16,0.0023255813953489
17,0
18,0.11744186046512
19,0.0058139534883721
20,0.0069767441860466
21,0.02093023255814
22,0.022093023255814
23,0.015116279069768
24,0.0034883720930233
25,0.032558139534884
26,0
27,0.0011627906976744
28,0.0023255813953489
29,0.0011627906976744
30,0.14767441860465
31,0.43604651162791
