Grey,Hits
0,0.47339246119734
1,0.0062823355506283
2,0.0020325203252033
3,0.00849963045085
4,0.014227642276423
5,0.0016629711751663
6,0.015336289726534
7,0.019955654101996
8,0.0070214338507022
9,0.039356984478936
10,0.013488543976349
11,0.0031411677753141
12,0.0055432372505544
13,0.02069475240207
14,0.0014781966001478
15,0.0048041389504804
16,0.011640798226164
17,0.00018477457501848
18,0.015705838876571
19,0.034552845528456
20,0.0014781966001478
21,0.012379896526238
22,0.0077605321507761
23,0.0012934220251294
24,0.0097930524759794
25,0.033444198078345
26,0
27,0.013488543976349
28,0.045639320029564
29,0.018292682926829
30,1
31,0.11548410938655
