Grey,Hits
0,1
1,0.005424341733528
2,7.5338079632333E-5
3,0.0029005160658448
4,0.0021848043093377
5,0
6,0.0047086299770208
7,0.002938185105661
8,0.00052736655742633
9,0.011677402343012
10,0.03243304328172
11,0.027460730025986
12,0.050099822955502
13,0.01661204655893
14,0.0037669039816167
15,0.0073831318039687
16,0.0096056051531225
17,0.00075338079632333
18,0.010170640750365
19,0.012242437940254
20,0.0053866726937118
21,0.014088220891246
22,0.015783327682974
23,0.010057633630917
24,0.018382491430289
25,0.016348363280216
26,0.0094549289938579
27,0.018834519908083
28,0.033751459675286
29,0.03439183335216
30,0.14238897050511
31,0.33536746148334
