Grey,Hits
0,1
1,0.043712385175798
2,0.0022172949002217
3,0.0019005384859043
4,0.018688628444725
5,0.0088691796008866
6,0.00063351282863476
7,0.0076021539436171
8,0.00031675641431738
9,0.00095026924295214
10,0.00031675641431738
11,0.00031675641431738
12,0
13,0.0088691796008866
14,0.00095026924295214
15,0.0069686411149824
16,0.00031675641431738
17,0.00031675641431738
18,0.00063351282863476
19,0.0022172949002217
20,0.0012670256572695
21,0.00063351282863476
22,0.006651884700665
23,0.0095026924295214
24,0.0019005384859043
25,0.00063351282863476
26,0.0012670256572695
27,0.0041178333861259
28,0.014254038644282
29,0.010136205258156
30,0.010769718086791
31,0.016471333544504
