Grey,Hits
0,1
1,0.26666666666667
2,0.35
3,0.35
4,0.41666666666667
5,0.25
6,0.21666666666667
7,0.11666666666667
8,0
9,0.1
10,0.16666666666667
11,0.13333333333333
12,0.21666666666667
13,0.23333333333333
14,0.05
15,0.1
16,0.18333333333333
17,0.36666666666667
18,0.18333333333333
19,0.16666666666667
20,0.05
21,0.23333333333333
22,0.21666666666667
23,0.083333333333333
24,0.083333333333333
25,0.083333333333333
26,0.033333333333333
27,0.033333333333333
28,0.11666666666667
29,0.2
30,0.1
31,0.033333333333333
