Grey,Hits
0,1
1,0.0060256088375612
2,0.002845426395515
3,0.0092894802912402
4,0.012720729768185
5,0.015231400117169
6,0.019081094652277
7,0.040505481630273
8,0.029374843083111
9,0.24437191396776
10,0.06795547744583
11,0.029793288141275
12,0.017323625407988
13,0.015064022093903
14,0.0037660055234758
15,0.0064440538957252
16,0.0049376516863349
17,0.00075320110469515
18,0.0044355176165381
19,0.002845426395515
20,0
21,0.003682316511843
22,0.0056071637793972
23,0.0046865846514365
24,0.012637040756552
25,0.017742070466152
26,0.012051217675122
27,0.042681395932725
28,0.073395263201961
29,0.064607916980518
30,0.17022344966111
31,0.26060758222452
