Grey,Hits
0,1
1,0.0077785817655559
2,0
3,0.011034732272068
4,0.0037083936324162
5,0.0018089725036177
6,0.004612879884225
7,0.010130246020259
8,0.0013567293777132
9,0.0064218523878427
10,0.013748191027494
11,0.020350940665699
12,0.036360347322715
13,0.012210564399419
14,0.0024421128798838
15,0.013115050651228
16,0.011577424023153
17,0.0073263386396515
18,0.012120115774238
19,0.011939218523877
20,0.0086830680173648
21,0.022250361794497
22,0.032380607814756
23,0.0123010130246
24,0.01438133140376
25,0.012210564399419
26,0.0071454413892898
27,0.02252170767004
28,0.027315484804627
29,0.026049204052094
30,0.17194283646886
31,0.76881331403753
