Grey,Hits
0,1
1,0.0025648021828092
2,0
3,0.00076398362892188
4,0.0044201909959051
5,0
6,0.015443383356064
7,0.0036562073669833
8,0.15061391541603
9,0.42046384720307
10,0.023738062755787
11,0.0095497953615234
12,0.015716234652107
13,0.023137789904491
14,0.013151432469298
15,0.010368349249654
16,0.01473396998635
17,0.0043656207366964
18,0.0088403819918103
19,0.0082946793997232
20,0.0073124147339665
21,0.0085675306957667
22,0.054024556616618
23,0.068212824010882
24,0.023301500682117
25,0.031650750341049
26,0.023083219645282
27,0.023738062755787
28,0.024720327421544
29,0.020518417462473
30,0.10384720327417
31,0.23863574351967
