Grey,Hits
0,1
1,0.092835906780475
2,0.036443847703079
3,0.093507240817111
4,0.089479236597297
5,0.029634602474346
6,0.084396278891341
7,0.078546082286373
8,0.036347942840703
9,0.092068667881463
10,0.08967104632205
11,0.028579648988204
12,0.071353217608134
13,0.065790735590296
14,0.026469742015921
15,0.079888750359645
16,0.14529586650043
17,0.03615613311595
18,0.066749784214061
19,0.05850196604968
20,0.0047952431188262
21,0.045650714491225
22,0.044499856142707
23,0
24,0.034909369905055
25,0.040951376234776
26,0.00019180972475305
27,0.044020331830825
28,0.082094562194305
29,0.072695885681405
30,0.24599597199578
31,0.65781145104061
