Grey,Hits
0,1
1,0.067796610169491
2,0.033898305084746
3,0
4,0.022598870056497
5,0.028248587570621
6,0.045197740112994
7,0.084745762711864
8,0.011299435028249
9,0.022598870056497
10,0.067796610169491
11,0.045197740112994
12,0
13,0.21468926553672
14,0.11864406779661
15,0.18079096045198
16,0.24293785310734
17,0.10734463276836
18,0.12429378531073
19,0.096045197740113
20,0.056497175141243
21,0.067796610169491
22,0.16949152542373
23,0.050847457627118
24,0.062146892655367
25,0.12429378531073
26,0.062146892655367
27,0.10734463276836
28,0.13559322033898
29,0.090395480225988
30,0.2090395480226
31,0.10734463276836
