Grey,Hits
0,1
1,0.012529002320185
2,0.0032482598607888
3,0.0092807424593965
4,0.0046403712296983
5,0
6,0.011136890951276
7,0.0055684454756379
8,0.042227378190254
9,0.13921113689095
10,0.016705336426914
11,0.015777262180974
12,0.018561484918793
13,0.024129930394431
14,0.0088167053364267
15,0.022273781902552
16,0.023665893271461
17,0.010672853828306
18,0.010208816705336
19,0.02737819025522
20,0.015313225058004
21,0.020881670533642
22,0.016241299303944
23,0.010208816705336
24,0.013457076566125
25,0.017633410672853
26,0.0088167053364267
27,0.017633410672853
28,0.14524361948955
29,0.042691415313224
30,0.11879350348028
31,0.91415313225057
