Grey,Hits
0,1
1,0.098039215686274
2,0.07843137254902
3,0.1078431372549
4,0.14705882352941
5,0.12745098039216
6,0.16666666666667
7,0.26470588235294
8,0.0098039215686274
9,0.03921568627451
10,0.07843137254902
11,0.0098039215686274
12,0.049019607843137
13,0
14,0
15,0.019607843137255
16,0.0098039215686274
17,0.0098039215686274
18,0.068627450980392
19,0.049019607843137
20,0.0098039215686274
21,0.029411764705882
22,0.049019607843137
23,0.019607843137255
24,0.049019607843137
25,0.03921568627451
26,0.03921568627451
27,0.18627450980392
28,0.67647058823529
29,0.03921568627451
30,0.19607843137255
31,0.25490196078431
