Grey,Hits
0,1
1,0.017318222335415
2,0.0077677320769139
3,0.010441869349294
4,0.008722781102764
5,0.0045842353240804
6,0.0060486438303838
7,0.0075130523366873
8,0.0029288170126069
9,0.0054119444798171
10,0.004456895453967
11,0.0015280784413601
12,0.0030561568827202
13,0.0039475359735136
14,0.0013370686361901
15,0.0031198268177769
16,0.0028651470775502
17,0
18,0.0033745065580036
19,0.0037565261683436
20,0.0028651470775502
21,0.0077040621418573
22,0.0057939640901571
23,0.0026741372723802
24,0.0064943333757805
25,0.017763911880811
26,0.0035018464281169
27,0.008340761492424
28,0.0043295555838537
29,0.0021011078568702
30,0.0055392843499304
31,0.0015917483764168
