Grey,Hits
0,1
1,0.0078826363039198
2,0
3,0.0037223560324066
4,0.0065688635865998
5,0.0030654696737466
6,0.0015327348368733
7,0.0039413181519599
8,0.0019706590759799
9,0.026056492226846
10,0.042916575432452
11,0.051237135975479
12,0.059338734398952
13,0.033063280052552
14,0.012918765053646
15,0.011604992336326
16,0.0087584847821331
17,0.00043792423910666
18,0.0048171666301732
19,0.0083205605430264
20,0.0026275454346399
21,0.01510838624918
22,0.01248084081454
23,0.0043792423910665
24,0.010948105977666
25,0.01576527260784
26,0.011604992336326
27,0.027808189183273
28,0.060433544996718
29,0.084957302386691
30,0.32691044449312
31,0.52112984453692
