Grey,Hits
0,1
1,0.011961722488038
2,0.0032894736842103
3,0.012559808612439
4,0.0095693779904301
5,0.00089712918660282
6,0.016746411483253
7,0.0056818181818178
8,0
9,0.010765550239234
10,0.0089712918660282
11,0.0053827751196169
12,0.013755980861243
13,0.0032894736842103
14,0
15,0.013456937799042
16,0.0068779904306216
17,0.0053827751196169
18,0.014055023923444
19,0.031100478468898
20,0.032296650717701
21,0.044258373205739
22,0.070275119617221
23,0.054425837320571
24,0.19706937799042
25,0.072667464114828
26,0.02541866028708
27,0.033492822966505
28,0.02541866028708
29,0.026913875598085
30,0.037081339712916
31,0.48444976076552
