Grey,Hits
0,0.82713473850809
1,0.015826199553992
2,0
3,0.015538450471192
4,0.0091360333788955
5,0.0053952953024973
6,0.015754262283292
7,0.024890295662188
8,0.027048413783187
9,0.086108913027858
10,0.086036975757158
11,0.049924465865775
12,0.077404503273162
13,0.064311920005768
14,0.01949500035969
15,0.15279476296672
16,0.25552118552627
17,0.18049061218621
18,0.085893101215758
19,0.027695849219486
20,0.02035824760809
21,0.070282713473865
22,0.038846126177981
23,0.015610387741892
24,0.03992518523848
25,0.026185166534787
26,0.018200129487091
27,0.044457233292578
28,0.072009207970665
29,0.038054816200281
30,0.27861304942097
31,1
