Grey,Hits
0,1
1,0.0064777327935223
2,0.0024291497975709
3,0.0080971659919028
4,0.0072874493927126
5,0.010526315789474
6,0.0072874493927126
7,0.005668016194332
8,0.0040485829959514
9,0.0089068825910931
10,0.0072874493927126
11,0.0016194331983806
12,0.0040485829959514
13,0.005668016194332
14,0
15,0.017004048582996
16,0.012955465587045
17,0.0024291497975709
18,0.0097165991902834
19,0.0080971659919028
20,0.0024291497975709
21,0.012145748987854
22,0.012955465587045
23,0.0048582995951417
24,0.0032388663967611
25,0.016194331983806
26,0.0064777327935223
27,0.021052631578947
28,0.0582995951417
29,0.073684210526316
30,0.18542510121457
31,0.17004048582996
