Grey,Hits
0,1
1,0.0097139773340521
2,0.16771601607002
3,0.062241410325593
4,0.001019367991845
5,0.001618996222342
6,0.0043772860826284
7,0.0026983270372367
8,0.0073154644120639
9,0.00047970258439763
10,0.0035977693829822
11,5.9962823049704E-5
12,0.00065959105354674
13,0.0023985129219882
14,0.0035378065599325
15,0.00029981411524852
16,0.02020747136775
17,0.0017389218684414
18,0.0066558733585171
19,0.0022785872758888
20,0.0029381783294355
21,0.00065959105354674
22,0.0013791449301432
23,0
24,0.0030581039755349
25,0.0070756131198651
26,0.00023985129219882
27,0.0034178809138331
28,0.21142891407325
29,0.11009174311925
30,0.10139713377705
31,0.084127840738732
