Grey,Hits
0,0.11132154882155
1,0.028829966329967
2,0
3,0.039141414141415
4,0.041035353535354
5,0.022306397306398
6,0.05429292929293
7,0.073863636363637
8,0.028829966329967
9,0.077230639730641
10,0.084385521885523
11,0.04229797979798
12,0.10900673400674
13,0.1104797979798
14,0.057659932659933
15,0.14414983164983
16,0.16645622895623
17,0.11637205387205
18,0.25294612794613
19,0.3503787878788
20,0.32765151515152
21,0.48758417508418
22,0.38489057239058
23,0.24600168350169
24,0.47201178451179
25,0.52167508417509
26,0.40404040404041
27,0.80008417508417
28,1
29,0.6824494949495
30,0.99789562289562
31,0.37415824915825
