Grey,Hits
0,1
1,0.0021739130434783
2,0
3,0.0021739130434783
4,0.0071428571428574
5,0.0032608695652175
6,0.0086956521739133
7,0.0043478260869567
8,0.0026397515527951
9,0.0045031055900623
10,0.0090062111801245
11,0.010093167701864
12,0.02996894409938
13,0.058695652173915
14,0.0021739130434783
15,0.024378881987579
16,0.0096273291925469
17,0.0035714285714287
18,0.024223602484473
19,0.047670807453418
20,0.019875776397516
21,0.046583850931679
22,0.051552795031058
23,0.036180124223604
24,0.19161490683231
25,0.01552795031056
26,0.010093167701864
27,0.018167701863355
28,0.0094720496894413
29,0.0091614906832301
30,0.017701863354038
31,0.010714285714286
