Grey,Hits
0,1
1,0.11931119311193
2,0.036695366953668
3,0.050584255842556
4,0.014350143501434
5,0.0056888068880685
6,0.0082000820008195
7,0.0094300943009424
8,0
9,0.0093275932759322
10,0.0073800738007376
11,0.004612546125461
12,0.0074313243132427
13,0.0086100861008605
14,0.00010250102501024
15,0.0085588355883554
16,0.0073288232882324
17,0
18,0.0062525625256249
19,0.0059450594505942
20,0.00010250102501024
21,0.0099938499384988
22,0.0038437884378842
23,0.0024600246002458
24,0.0063550635506351
25,0.0072263222632222
26,0.0039462894628944
27,0.0064575645756454
28,0.011223862238622
29,0.019987699876998
30,0.13232882328823
31,0.16728167281672
