Grey,Hits
0,1
1,0.0085728693898136
2,0
3,0.018658598083712
4,0.0055471507816441
5,0.0040342914775593
6,0.015128593040848
7,0.018658598083712
8,0.0010085728693898
9,0.020675743822492
10,0.018658598083712
11,0.0085728693898136
12,0.014624306606153
13,0.029248613212305
14,0.015128593040848
15,0.027231467473526
16,0.022188603126576
17,0.011598587997983
18,0.034291477559254
19,0.033282904689865
20,0.027735753908221
21,0.073625819465458
22,0.09631870902673
23,0.086737266767526
24,0.26424609178014
25,0.18406454866365
26,0.098335854765509
27,0.16439737771054
28,0.2682803832577
29,0.32929904185578
30,0.89964699949574
31,0.96873424104893
