Grey,Hits
0,0.27536231884058
1,0.02536231884058
2,0.0060386473429951
3,0.013285024154589
4,0.015700483091787
5,0
6,0.0072463768115942
7,0.015700483091787
8,0.010869565217391
9,0.0036231884057971
10,0.014492753623188
11,0.0072463768115942
12,0.02536231884058
13,0.042270531400966
14,0.0036231884057971
15,0.026570048309179
16,0.042270531400966
17,0.001207729468599
18,0.02536231884058
19,0.038647342995169
20,0.031400966183575
21,0.07487922705314
22,0.10144927536232
23,0.080917874396135
24,0.15217391304348
25,0.19323671497584
26,0.16183574879227
27,0.25
28,0.3707729468599
29,0.34541062801932
30,1
31,0.90821256038647
