Grey,Hits
0,1
1,0.029447692173457
2,0.0050170142221445
3,0.0088997469679781
4,0.016272576563999
5,0.011866329290637
6,0.011691824448128
7,0.010557542971817
8,0.0027048250588953
9,0.0095105139167609
10,0.11277375447169
11,0.00034900968501875
12,0.011124683709973
13,0.0035337230608148
14,0.0011342814763109
15,0.0033155920076781
16,0.0023994415845039
17,0.0010470290550562
18,0.0044934996946164
19,0.0058895384346914
20,0.0012215338975656
21,0.0044934996946164
22,0.0049733880115172
23,0.0017886746357211
24,0.0094668877061335
25,0.0022249367419945
26,0
27,0.0036209754820695
28,0.0059767908559461
29,0.0021813105313672
30,0.004318994852107
31,0.00065439315941015
