Grey,Hits
0,1
1,0.00075779656076951
2,0.0019819294666279
3,0.0013990090352668
4,0.004022150976392
5,0.0013407169921307
6,0.003031186243078
7,0.00069950451763339
8,0.003031186243078
9,0.0043136111920726
10,0.003031186243078
11,0.00017487612940835
12,0.00046633634508893
13,0.0097930632468675
14,0.0065870008743811
15,0.00017487612940835
16,5.8292043136116E-5
17,0.0022733896823085
18,0.004022150976392
19,0.0048965316234338
20,0
21,0.0027397260273975
22,0.00075779656076951
23,0.0033809385018947
24,0.0033226464587586
25,0.0082191780821924
26,0.0041970271058004
27,0.015272515301662
28,0.11256193529584
29,0.0021568055960363
30,0.017079568638882
31,0.007519673564559
