Grey,Hits
0,0.24537037037037
1,0.24537037037037
2,0
3,0.36111111111111
4,0.39814814814815
5,0.36574074074074
6,0.59722222222222
7,0.66203703703704
8,0.39351851851852
9,0.86111111111111
10,0.88888888888889
11,0.35648148148148
12,0.75462962962963
13,0.73148148148148
14,0.22222222222222
15,0.37037037037037
16,0.53703703703704
17,0.41203703703704
18,0.73611111111111
19,0.97685185185185
20,0.67592592592592
21,1
22,0.89351851851852
23,0.46759259259259
24,0.6712962962963
25,0.64814814814815
26,0.14351851851852
27,0.46759259259259
28,0.26388888888889
29,0.1712962962963
30,0.35185185185185
31,0.12962962962963
