Grey,Hits
0,0.53938185443672
1,0.51296111665008
2,0.45176969092724
3,0.82477567298107
4,1
5,0.5606929212363
6,0.55770189431708
7,0.41587736789633
8,0.30807577268198
9,0.35456131605186
10,0.14070289132602
11,0
12,0.047731804586242
13,0.056704885343969
14,0.020189431704885
15,0.11527916251246
16,0.099077766699901
17,0.014581256231306
18,0.095214356929213
19,0.12574775672981
20,0.07826520438684
21,0.22295613160519
22,0.27430209371885
23,0.16911764705883
24,0.38845962113661
25,0.46747258225327
26,0.34882851445666
27,0.66762213359923
28,0.78826021934199
29,0.52704386839483
30,0.82427716849453
31,0.43207876370889
