Grey,Hits
0,0.093652769135033
1,0.12538892345986
2,0.10485376477909
3,0.22884256378344
4,0.32809583074051
5,0.17548226509023
6,0.34847542003734
7,0.38690105787182
8,0.2551337896702
9,0.41568139390169
10,0.39141257000623
11,0.23444306160549
12,0.57949595519604
13,0.56082762912261
14,0.32685127566897
15,0.57093963907905
16,0.59878655880525
17,0.38550093341633
18,0.88565650280026
19,1
20,0.52955818294961
21,0.80818294959554
22,0.63534536403239
23,0.27675793403859
24,0.56907280647171
25,0.67672682016182
26,0.44321717486001
27,0.51571250777849
28,0.30118232731798
29,0.077629122588673
30,0.11356565028002
31,0
