Grey,Hits
0,0.17784846732215
1,0.28253325621747
2,0
3,0.16859456333141
4,0.47773279352227
5,0.23452862926547
6,0.47946790052053
7,0.35511856564488
8,0.10410641989589
9,0.46905725853094
10,0.73452862926547
11,0.43753614806246
12,0.89097744360902
13,0.88750722961249
14,0.50144592249855
15,1
16,0.83024869866975
17,0.42423366107577
18,0.72325043377675
19,0.81260844418739
20,0.39676113360324
21,0.68160786581839
22,0.43666859456333
23,0.13765182186235
24,0.52689415847311
25,0.61972238288028
26,0.21833429728167
27,0.37073452862927
28,0.42943898207056
29,0.18652400231348
30,0.36148062463852
31,0.14835164835165
