Grey,Hits
0,0.63846153846154
1,0.55897435897436
2,0.36666666666667
3,0.76923076923077
4,0.75384615384615
5,0.4
6,1
7,0.92307692307692
8,0.57179487179487
9,0.83333333333333
10,0.6974358974359
11,0.24358974358974
12,0.41282051282051
13,0.26410256410257
14,0.058974358974359
15,0.31282051282051
16,0.51538461538462
17,0.13846153846154
18,0.23333333333333
19,0.16923076923077
20,0
21,0.20769230769231
22,0.16666666666667
23,0.023076923076923
24,0.17435897435898
25,0.14615384615385
26,0.028205128205128
27,0.23333333333333
28,0.26666666666667
29,0.14102564102564
30,0.41538461538462
31,0.26410256410256
