Grey,Hits
0,0.17188252286954
1,1
2,0.58058497833414
3,0.40858208955226
4,0.17428984111702
5,0.11765767934523
6,0.17055849783343
7,0.14504092441022
8,0.04495666827155
9,0.13631439576313
10,0.13384689455947
11,0.0570534424651
12,0.13571256620127
13,0.13414780934041
14,0.059882041405881
15,0.11434761675495
16,0.11627347135292
17,0.039058738565242
18,0.094366875300922
19,0.09478815599423
20,0.032679345209439
21,0.080223880597021
22,0.090755897929713
23,0.024494463168033
24,0.077575830524801
25,0.093163216177187
26,0
27,0.053261916225329
28,0.099723158401549
29,0.078298025999047
30,0.099000962927307
31,0.038637457871935
