Grey,Hits
0,0.031864630260411
1,0.025162070102187
2,0
3,0.052192066805846
4,0.20536204812658
5,0.20843863311725
6,0.26315789473685
7,0.26293813866609
8,0.289748379299
9,0.51335018129879
10,0.46115811449294
11,0.287440940556
12,0.47632128337548
13,0.6016921217449
14,0.38479287990333
15,0.72772222832658
16,0.67717833205145
17,0.46258652895288
18,0.80749368201298
19,0.95692781013076
20,0.66970662564553
21,1
22,0.61883309526429
23,0.30688935281839
24,0.48203494121528
25,0.30161520712011
26,0.10306559718712
27,0.13383144709373
28,0.083177672783212
29,0.016261949236348
30,0.051862432699704
31,0.031315240083508
