Grey,Hits
0,0.77464788732394
1,0.34507042253521
2,0.27112676056338
3,0.61619718309859
4,0.43661971830986
5,0.3169014084507
6,0.55985915492958
7,0.77464788732394
8,0.43661971830986
9,0.98943661971831
10,1
11,0.64084507042253
12,0.89084507042254
13,0.75
14,0.37323943661972
15,0.93661971830986
16,0.85915492957746
17,0.33450704225352
18,0.59507042253521
19,0.48943661971831
20,0.16549295774648
21,0.30281690140845
22,0.38380281690141
23,0.059859154929578
24,0.27112676056338
25,0.28169014084507
26,0
27,0.25
28,0.22535211267606
29,0.063380281690141
30,0.42253521126761
31,1
