Grey,Hits
0,0.11111111111111
1,0.1371158392435
2,0.063829787234043
3,0.36879432624114
4,0.50118203309693
5,0.3758865248227
6,0.57446808510638
7,0.70921985815603
8,0.45862884160757
9,0.87706855791962
10,1
11,0.56737588652482
12,0.88416075650118
13,0.72340425531915
14,0.38297872340426
15,0.548463356974
16,0.49881796690307
17,0.21513002364066
18,0.39007092198582
19,0.45153664302601
20,0.20567375886525
21,0.3758865248227
22,0.43971631205674
23,0.31205673758865
24,0.55555555555556
25,0.34751773049645
26,0.28605200945627
27,0.25531914893617
28,0.0023640661938534
29,0
30,0.087470449172577
31,0.030732860520095
