Grey,Hits
0,0.27324185248714
1,0.25162950257291
2,0.039794168096059
3,0.19416809605489
4,0.20926243567753
5,0
6,0.15334476843911
7,0.15849056603773
8,0.026243567753004
9,0.23413379073757
10,0.24082332761579
11,0.096226415094349
12,0.35814751286451
13,0.52572898799317
14,0.35506003430534
15,0.68130360205836
16,0.72641509433965
17,0.49811320754718
18,1
19,0.91543739279589
20,0.37324185248716
21,0.4284734133791
22,0.28421955403088
23,0.11801029159521
24,0.31646655231562
25,0.24922813036021
26,0.052144082332766
27,0.26603773584906
28,0.32246998284735
29,0.097427101200695
30,0.34528301886794
31,0.1826758147513
