Grey,Hits
0,0.94508670520231
1,0.17341040462428
2,0.026011560693642
3,0.17052023121387
4,0.15317919075145
5,0.078034682080925
6,0.32658959537572
7,0.33526011560694
8,0.054913294797688
9,0.41040462427746
10,0.50289017341041
11,0.34104046242775
12,0.76589595375723
13,1
14,0.32369942196532
15,0.55780346820809
16,0.39306358381503
17,0.063583815028902
18,0.34971098265896
19,0.30635838150289
20,0.098265895953757
21,0.24566473988439
22,0.19075144508671
23,0.0057803468208092
24,0.20520231213873
25,0.27745664739884
26,0
27,0.3150289017341
28,0.32947976878613
29,0.060693641618497
30,0.38150289017341
31,0.91329479768786
