Grey,Hits
0,0.30172413793104
1,0.2801724137931
2,0.15948275862069
3,0.65086206896552
4,0.68965517241379
5,0.2198275862069
6,0.62931034482759
7,0.85344827586207
8,0.40948275862069
9,1
10,0.81465517241379
11,0.40086206896552
12,0.69396551724138
13,0.94396551724138
14,0.42672413793103
15,0.93965517241379
16,0.77586206896552
17,0.25
18,0.80603448275862
19,0.60344827586207
20,0.23275862068965
21,0.54741379310345
22,0.56465517241379
23,0.17672413793103
24,0.59913793103448
25,0.44396551724138
26,0.25431034482759
27,0.875
28,0.54310344827586
29,0.021551724137931
30,0.2198275862069
31,0
