Grey,Hits
0,0.077310924369748
1,0.082352941176471
2,0.035294117647059
3,0.067226890756303
4,0.043697478991597
5,0
6,0.12268907563025
7,0.13445378151261
8,0.097478991596639
9,0.22352941176471
10,0.43865546218487
11,0.3546218487395
12,0.62857142857143
13,0.83865546218487
14,0.5109243697479
15,1
16,0.91596638655462
17,0.43529411764706
18,0.54957983193277
19,0.53781512605042
20,0.2218487394958
21,0.3546218487395
22,0.32941176470588
23,0.12268907563025
24,0.21008403361345
25,0.20840336134454
26,0.05546218487395
27,0.12941176470588
28,0.15126050420168
29,0.050420168067227
30,0.1109243697479
31,0.016806722689076
