Grey,Hits
0,0.11617312072893
1,0.12300683371298
2,0.034168564920273
3,0.40774487471526
4,0.43507972665148
5,0.30979498861048
6,0.49430523917996
7,0.67198177676538
8,0.40546697038724
9,0.74715261958998
10,0.82004555808656
11,0.38268792710706
12,0.77904328018223
13,1
14,0.56036446469248
15,0.7995444191344
16,0.71070615034169
17,0.40091116173121
18,0.69931662870159
19,0.62186788154898
20,0.2619589977221
21,0.37813211845103
22,0.37585421412301
23,0.13667425968109
24,0.26651480637813
25,0.19362186788155
26,0.061503416856492
27,0.14578587699317
28,0.13895216400911
29,0.013667425968109
30,0.14578587699317
31,0
