Grey,Hits
0,0.10027347310848
1,0.11941659070191
2,0.11485870556062
3,0.26344576116682
4,0.36827711941659
5,0.40838650865998
6,0.81130355515041
7,1
8,0.64813126709207
9,0.66636280765725
10,0.30993618960802
11,0.15132178669098
12,0.21695533272562
13,0.12579762989973
14,0.053783044667275
15,0.076572470373747
16,0.078395624430265
17,0.046490428441204
18,0.059252506836828
19,0.045578851412945
20,0.015496809480401
21,0.027347310847767
22,0.020054694621696
23,0
24,0.028258887876026
25,0.017319963536919
26,0.0063810391978123
27,0.02461257976299
28,0.029170464904285
29,0.025524156791249
30,0.085688240656336
31,0.075660893345488
