Grey,Hits
0,0.21657871591907
1,0.19415127528583
2,0
3,0.16820580474933
4,0.18623570800351
5,0.024626209322778
6,0.32585751978891
7,0.65457343887424
8,0.40677220756378
9,0.76253298153036
10,0.88742304309588
11,0.5712401055409
12,1
13,0.83531222515393
14,0.36345646437996
15,0.74296394019351
16,0.74428320140723
17,0.36037818821462
18,0.72713280562886
19,0.7458223394899
20,0.35905892700089
21,0.622691292876
22,0.59410729991206
23,0.28671943711523
24,0.65215479331575
25,0.49890061565523
26,0.17788038698329
27,0.44239226033421
28,0.34850483729111
29,0.043315743183815
30,0.28078276165346
31,0.23504837291118
