Grey,Hits
0,0.875
1,0.68303571428571
2,0.20535714285714
3,0.52678571428572
4,0.43303571428572
5,0.0089285714285714
6,0.42410714285714
7,0.42857142857143
8,0
9,0.45089285714286
10,0.54464285714286
11,0.14285714285714
12,0.67410714285714
13,0.53125
14,0.125
15,0.68303571428571
16,0.75892857142857
17,0.16071428571429
18,0.55803571428572
19,0.65625
20,0.26339285714286
21,0.80357142857143
22,1
23,0.30803571428571
24,0.83035714285714
25,0.5625
26,0.19196428571429
27,0.66964285714286
28,0.46875
29,0.29464285714286
30,0.63392857142857
31,0.58482142857143
