Grey,Hits
0,0.065949286170892
1,0.078627743447688
2,0.049435329213722
3,0.10302578308118
4,0.11080332409972
5,0.11357340720222
6,0.25985510334541
7,0.35968463669295
8,0.30907734924355
9,1
10,0.94555721287022
11,0.59492861708927
12,0.69944598337947
13,0.38855742595355
14,0.25697847858513
15,0.44886000426166
16,0.38695930108673
17,0.24259535478372
18,0.26060089494993
19,0.14361815469849
20,0.061687619859365
21,0.084700617941615
22,0.05486895376092
23,0.019177498401875
24,0.022373748135521
25,0.017366290219476
26,0
27,0.023439164713403
28,0.021734498188792
29,0.012891540592371
30,0.053590453867462
31,0.031003622416364
