Grey,Hits
0,0.088414634146342
1,0.051829268292684
2,0
3,0.073170731707318
4,0.1890243902439
5,0.125
6,0.46951219512195
7,0.32926829268293
8,0.10365853658537
9,0.32317073170732
10,0.30182926829268
11,0.076219512195122
12,0.27743902439024
13,0.24390243902439
14,0.057926829268293
15,0.26829268292683
16,0.32012195121951
17,0.045731707317073
18,0.30792682926829
19,0.34756097560976
20,0.070121951219512
21,0.38414634146342
22,0.48475609756098
23,0.14634146341463
24,0.45426829268293
25,0.41463414634146
26,0.16463414634146
27,0.37804878048781
28,0.53353658536585
29,0.30792682926829
30,1
31,0.67378048780488
