Grey,Hits
0,0.19266055045872
1,0.19724770642202
2,0
3,0.92201834862385
4,1
5,0.24770642201835
6,0.84403669724771
7,0.57798165137615
8,0.26146788990826
9,0.6605504587156
10,0.52293577981651
11,0.53211009174312
12,0.75229357798165
13,0.55963302752294
14,0.22935779816514
15,0.6605504587156
16,0.81651376146789
17,0.40366972477064
18,0.99082568807339
19,0.77522935779817
20,0.37155963302752
21,0.79816513761468
22,0.59633027522936
23,0.1651376146789
24,0.36697247706422
25,0.38073394495413
26,0.10550458715596
27,0.41743119266055
28,0.5
29,0.013761467889908
30,0.37614678899083
31,0.082568807339449
