Grey,Hits
0,0.12267328487856
1,0.10920049636588
2,0.052561602552734
3,0.25314660521182
4,0.69748271583049
5,0.76466938486087
6,1
7,0.81714235064701
8,0.26794894522245
9,0.24968977131712
10,0.1187732671512
11,0.031466052118416
12,0.053713880517633
13,0.035631980145361
14,0
15,0.037138805176384
16,0.028806949122493
17,0.0093068604857285
18,0.050079773089873
19,0.053182059918449
20,0.010902322283282
21,0.064261655734792
22,0.075961708916851
23,0.041570643502921
24,0.11451870235773
25,0.12205282751284
26,0.055752526147841
27,0.13694380429001
28,0.1553802517284
29,0.05920936004254
30,0.13127105123204
31,0.070023045559291
