Grey,Hits
0,0.25412541254125
1,0.29042904290429
2,0.023102310231023
3,0.40594059405941
4,0.26732673267327
5,0.023102310231023
6,0.28382838283828
7,0.31353135313531
8,0.01980198019802
9,0.25412541254125
10,0.28382838283828
11,0.056105610561056
12,0.18811881188119
13,0.19141914191419
14,0
15,0.34983498349835
16,0.33663366336634
17,0.16831683168317
18,0.41254125412541
19,0.37293729372937
20,0.13861386138614
21,0.43894389438944
22,0.48844884488449
23,0.14191419141914
24,0.76897689768977
25,1
26,0.38943894389439
27,0.33333333333333
28,0.64356435643564
29,0.13531353135314
30,0.62046204620462
31,0.095709570957096
