Grey,Hits
0,0.35869565217391
1,0.18115942028986
2,0
3,0.18115942028986
4,0.28260869565217
5,0.10144927536232
6,0.42753623188406
7,0.53260869565217
8,0.17391304347826
9,0.47101449275362
10,0.46376811594203
11,0.19202898550725
12,0.75
13,0.88768115942029
14,0.40942028985507
15,0.7536231884058
16,1
17,0.56159420289855
18,0.84420289855072
19,0.58333333333333
20,0.15217391304348
21,0.42753623188406
22,0.5
23,0.23188405797101
24,0.34782608695652
25,0.38405797101449
26,0.018115942028985
27,0.31884057971015
28,0.25
29,0.11231884057971
30,0.42753623188406
31,0.70289855072464
