Grey,Hits
0,0.70433639947438
1,1
2,0.6622864651774
3,0.74375821287779
4,0.66754270696452
5,0.26675427069645
6,0.32720105124836
7,0.16688567674113
8,0.051248357424442
9,0.12877792378449
10,0.052562417871222
11,0.027595269382392
12,0.0946123521682
13,0.099868593955322
14,0.036793692509856
15,0.065703022339028
16,0.10512483574244
17,0.028909329829172
18,0.088042049934297
19,0.065703022339028
20,0
21,0.077529566360053
22,0.11957950065703
23,0.027595269382392
24,0.12483574244415
25,0.13929040735874
26,0.018396846254928
27,0.1419185282523
28,0.13403416557162
29,0.082785808147175
30,0.27201051248357
31,0.26412614980289
