Grey,Hits
0,0.21134020618557
1,0.17525773195876
2,0.020618556701031
3,0.10824742268041
4,0.54639175257732
5,0.28865979381443
6,0.4639175257732
7,0.75773195876289
8,0.38659793814433
9,1
10,0.95876288659794
11,0.37628865979381
12,0.5979381443299
13,0.64948453608247
14,0.32989690721649
15,0.79896907216495
16,0.71649484536082
17,0.24742268041237
18,0.52061855670103
19,0.48969072164948
20,0.21649484536082
21,0.64432989690722
22,0.55670103092783
23,0.25257731958763
24,0.64948453608247
25,0.64432989690722
26,0.28350515463917
27,0.5360824742268
28,0.34536082474227
29,0
30,0.21649484536082
31,0.030927835051546
