Grey,Hits
0,0.0047846889952153
1,0.038277511961723
2,0.028708133971292
3,0.14593301435407
4,0.21531100478469
5,0.11004784688995
6,0.58612440191388
7,0.70334928229665
8,0.47846889952153
9,0.93301435406699
10,0.97129186602871
11,0.64354066985646
12,1
13,0.811004784689
14,0.53349282296651
15,0.84688995215311
16,0.72966507177034
17,0.36363636363636
18,0.67942583732057
19,0.64354066985646
20,0.27511961722488
21,0.39712918660287
22,0.26076555023924
23,0.10765550239234
24,0.16507177033493
25,0.10047846889952
26,0.016746411483254
27,0.035885167464115
28,0.057416267942584
29,0
30,0.057416267942584
31,0.10765550239234
