Grey,Hits
0,0.040000000000001
1,0.15555555555556
2,0.24888888888889
3,0.68
4,0.68
5,0.19111111111111
6,0.44444444444445
7,0.63111111111111
8,0.08
9,0.64444444444445
10,0.60444444444445
11,0.35555555555555
12,0.56
13,0.72444444444444
14,0.2
15,0.58666666666667
16,0.51111111111111
17,0.20444444444444
18,0.76444444444444
19,0.66222222222222
20,0.13777777777778
21,0.62666666666667
22,1
23,0.32888888888889
24,0.70666666666667
25,0.59555555555556
26,0.13777777777778
27,0.63111111111111
28,0.55555555555556
29,0
30,0.24444444444445
31,0.34222222222222
