Grey,Hits
0,1
1,0.025777777777778
2,0.043555555555556
3,0.024
4,0.022222222222223
5,0.015111111111111
6,0.039111111111112
7,0.053333333333334
8,0.10844444444445
9,0.15555555555556
10,0.22844444444445
11,0.224
12,0.042666666666667
13,0.11911111111111
14,0.018666666666667
15,0.032888888888889
16,0.031111111111112
17,0.016888888888889
18,0.016
19,0.014222222222222
20,0.008888888888889
21,0.012444444444445
22,0.016
23,0.017777777777778
24,0.021333333333334
25,0.078222222222224
26,0.016
27,0.012444444444445
28,0.025777777777778
29,0.0062222222222223
30,0.012444444444445
31,0
