Grey,Hits
0,0.0037735849056604
1,0.0069182389937107
2,0
3,0.0069182389937107
4,0.080503144654088
5,0.22138364779874
6,0.2937106918239
7,0.1251572327044
8,0.084905660377359
9,0.22012578616352
10,0.31320754716981
11,0.26037735849057
12,0.38867924528302
13,0.3496855345912
14,0.22201257861635
15,0.26918238993711
16,0.1440251572327
17,0.050314465408805
18,0.041509433962264
19,0.031446540880503
20,0.015723270440252
21,0.030817610062893
22,0.030817610062893
23,0.013836477987421
24,0.027044025157233
25,0.027044025157233
26,0.011320754716981
27,0.023270440251572
28,0.013207547169811
29,0.009433962264151
30,0.058490566037736
31,1
