Grey,Hits
0,0.19811320754717
1,0.15094339622642
2,0.11949685534591
3,0.36792452830189
4,0.25157232704403
5,0.09748427672956
6,0.35220125786164
7,0.5
8,0.30503144654088
9,0.63207547169811
10,0.73584905660378
11,0.41509433962264
12,0.69496855345912
13,0.72012578616352
14,0.5251572327044
15,0.9685534591195
16,1
17,0.40566037735849
18,0.67610062893082
19,0.66037735849057
20,0.19811320754717
21,0.44654088050315
22,0.31132075471698
23,0.19496855345912
24,0.38993710691824
25,0.27987421383648
26,0.16037735849057
27,0.25471698113208
28,0.28930817610063
29,0
30,0.38050314465409
31,0.62578616352201
