Grey,Hits
0,0.67156862745098
1,0.53921568627451
2,0.27450980392157
3,0.68627450980392
4,0.88235294117647
5,0.40196078431372
6,0.94117647058824
7,0.86274509803922
8,0.37745098039216
9,0.91176470588235
10,0.77450980392157
11,0.38725490196078
12,1
13,0.81372549019608
14,0.19117647058823
15,0.76960784313726
16,0.56372549019608
17,0.063725490196078
18,0.5
19,0.65196078431373
20,0.1421568627451
21,0.32843137254902
22,0.34313725490196
23,0
24,0.39705882352941
25,0.51960784313726
26,0.22058823529412
27,0.60294117647059
28,0.66666666666667
29,0.40686274509804
30,0.72058823529412
31,0.54411764705882
