Grey,Hits
0,0.23109243697479
1,0.17647058823529
2,0.056722689075631
3,0.014705882352941
4,0.050420168067227
5,0
6,0.10084033613445
7,0.25840336134454
8,0.13235294117647
9,0.33193277310924
10,0.34663865546219
11,0.21428571428571
12,0.72268907563025
13,0.73949579831933
14,0.48949579831933
15,0.9453781512605
16,1
17,0.60294117647059
18,0.86764705882353
19,0.90336134453782
20,0.4936974789916
21,0.71848739495798
22,0.53151260504202
23,0.27941176470588
24,0.47058823529412
25,0.32142857142857
26,0.17226890756303
27,0.25
28,0.28361344537815
29,0.13445378151261
30,0.23739495798319
31,0.1155462184874
